,product_id,product_name,aisle_id,department_id,prices
27,28,Wheat Chex Cereal,121,14,10.1
33,34,,121,14,12.2
67,68,"Pancake Mix, Buttermilk",130,14,13.7
89,90,Smorz Cereal,121,14,3.9
210,211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14,3.6
215,216,"Gluten Free Oatmeal, Variety Pack",130,14,4.5
221,222,Honey Nut Oatmeal Squares,121,14,1.1
237,238,Alpha-Bits Multigrain Cereal,121,14,11.9
251,252,"Waffles, Red Berry",121,14,4.9
287,288,Original Sprouted Grains Protein & Fiber Hot Oatmeal,130,14,4.5
339,340,Eco-Pac Kamut Puffs Cereal,121,14,7.8
364,365,Cheerios Cereal,121,14,10.5
437,438,Special K Vanilla Cappuccino Protein Breakfast Shakes,48,14,9.5
456,457,Whole Wheat Fig Bar,48,14,5.3
510,510,Protein Blend Honey Oats & Seeds Cereal,121,14,8.3
550,550,"Granola, Veritas, Organic",57,14,1.7
565,565,Light and Fluffy  Blueberry Pancake Mix,130,14,5.8
588,588,Special K Original Cereal,121,14,12.2
637,637,Multigrain Peanut Butter Cereal,121,14,7.6
661,661,Sweet Lemon Rain Dance Bar,48,14,1.8
691,691,Organic Promise Strawberry Fields Cereal,121,14,2.7
697,697,Quick Cooking Steel Cut Oats,130,14,11.7
745,745,Complete Funfetti Buttermilk Pancake & Waffle Mix,130,14,7.5
812,812,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,57,14,14.4
853,853,Crunchy Granola Bars Variety Pack,48,14,8.7
910,910,Nutri-Grain Harvest Hearty Breakfast Bars Country Strawberry,48,14,5.8
978,978,Mallow Oats Cereals,121,14,4.4
994,994,Shake n Pour Buttermilk Pancake Mix,130,14,13.4
1049,1049,Special K Protein Chewy Granola Bars Almond Honey Oat,48,14,2.9
1087,1087,Sunrise Crunchy Cinnamon Cereal,121,14,11.6
1245,1245,All-Natural Irish Style Oatmeal,130,14,10.6
1257,1257,Organic Amaranth Flakes,121,14,5.8
1301,1301,"Cereal, Panda Puffs, Peanut Butter",121,14,4.5
1306,1306,Raisin Bran Whole Grain Wheat & Bran Cereal,121,14,6.7
1333,1333,90 Calorie Chewy Bars Chocolate Peanut Butter,48,14,5.9
1422,1422,Apple Quinoa Cinnamon Oatmeal Fruit Squeeze,121,14,9.4
1441,1441,Quinoa Cereal Honey Almond,121,14,2.5
1451,1451,Oops! All Berries Cereal,121,14,13.0
1464,1464,Special k Protein Cereal,121,14,6.4
1485,1485,Pop-Tarts Frosted Strawberry Toaster Pastries,48,14,8.1
1508,1508,Simply Delicious Gluten-Free Blissfully Berry Cereal,121,14,7.0
1514,1514,Cracklin' Oat Bran Cereal,121,14,9.0
1521,1521,10 Grams Protein Cranberry Almond Instant Oatmeal,130,14,11.4
1551,1551,Nutri Grain Apple Cinnamon Harvest Bars,48,14,2.2
1578,1578,Apple Jacks Cereal,121,14,8.3
1583,1583,Complete Original Pancake & Waffle Mix,130,14,4.7
1616,1616,Simply Granola,57,14,12.5
1633,1633,"Pancake & Waffle Mix, Almond Flour",130,14,10.8
1728,1728,Organic Whole Wheat Stoneground Flakes Cereal,121,14,6.4
1783,1783,Organic French Vanilla Almond Granola,57,14,13.9
1982,1982,Steel Cut Quick Cook Oven Toasted Oats,130,14,13.8
2051,2051,Sunrise Crunchy Honey Cereal,121,14,3.3
2077,2077,Light Frosted Amazon Flakes,121,14,5.4
2137,2137,Granola Low Fat with Raisins,57,14,12.5
2172,2172,Oat Revolution! Thick & Hearty Apples & Cinnamon Instant Oatmeal,130,14,13.6
2208,2208,Granola With Raisins,121,14,12.3
2289,2289,Quick 5-Minute Grits,130,14,7.5
2367,2367,Variety Pack Instant Oatmeal,130,14,5.8
2449,2449,"Tri Fun Pack Fruit Loops, Cocoa Krispies; Apple Jacks",121,14,4.1
2476,2476,Gluten Free Apple Cinnamon Toaster Pastry,48,14,4.9
2519,2519,Rice Krispies Cereal,121,14,1.1
2543,2543,Crispy Rice Cereal,121,14,3.2
2562,2562,Quick & Easy Steel Cut Irish Oatmeal,130,14,9.3
2634,2634,Cereal Frosted Flakes Chocolate Choco Zucaritas,121,14,7.3
2652,2652,Chocolate Blend Granola,57,14,6.3
2779,2779,Oat Revolution! Maple & Brown Sugar Steel Cut Oatmeal Pouches,130,14,12.5
2796,2796,American Blend,130,14,2.4
2806,2806,Toasted Artisan Mix Granola,57,14,9.1
2815,2815,Special K Protein Greek Yogurt And Fruit Bar 4.76oz,48,14,8.9
2832,2832,Organic Quinoa Hot Cereal Flakes,121,14,9.5
3107,3107,Fiber One Oat & Chocolate Bar,48,14,13.3
3118,3118,Original Instant Grits,130,14,14.4
3214,3214,Original Granola Cereal,121,14,8.0
3217,3217,Organic Oven Toasted Oats Old Fashioned,130,14,5.4
3225,3225,Risin' Raisin Ancient Grains Cereal,121,14,14.9
3257,3257,Granola Pumpkin Spice Mix,57,14,5.6
3264,3264,"Muesli, Bircher (Unsweetened)",57,14,6.3
3315,3315,7 Whole Grain Flakes Cereal,121,14,2.1
3316,3316,Red Velvet Pastry Crisps,48,14,1.7
3343,3343,Toasted Wheat Germ,121,14,11.2
3409,3409,Total Raisin Bran Cereal,121,14,2.0
3477,3477,"Fruit & Veggie 1,2,3",121,14,14.0
3505,3505,Special K Red Berries Cereal Bars,48,14,11.1
3510,3510,Swedish Oatmeal Pancakes,130,14,11.3
3590,3590,Real Medleys Summer Berry Oatmeal Cup,130,14,6.2
3630,3630,Protein Granola Apple Crisp,57,14,2.6
3886,3886,Organic Maple Brown Sugar Granola,57,14,8.1
3894,3894,Frosted Granny's Apple Pie Toaster Pastries,48,14,3.6
3929,3929,Apple Fruit & Grain Cereal Bars,48,14,3.5
4137,4137,Whole Grain Oat Cereal,121,14,13.5
4170,4170,"Cereal, Veganic Sprouted, Spelt Flakes",121,14,1.8
4202,4202,Cookie Crisp Cereal,121,14,4.9
4410,4410,Organic Flax Plus Multibran Flakes,121,14,4.5
4455,4455,Raspberry Cereal,48,14,8.7
4458,4458,Hot & Fit Mayan Blend Cereal,130,14,5.3
4485,4485,Cinnamon Raisin Granola,57,14,2.6
4498,4498,Maple Granola Cereal,57,14,2.5
4591,4591,Quick 1 Minute Oatmeal,130,14,1.2
4593,4593,Gluten Free Pancake & Waffle Mix,130,14,5.7
4634,4634,Oatmeal Variety Pack,130,14,11.1
4779,4779,Muesli,130,14,4.2
4792,4792,Panda Puffs Peanut Butter Cereal,121,14,9.5
4825,4825,Paleo Granola Cranberry Lemon,57,14,14.0
4828,4828,Krave Double Chocolate Cereal,121,14,10.8
4893,4893,Quick Enriched Hominy Grits,130,14,3.4
4912,4912,Pure Tapioca Flour,130,14,3.6
4982,4982,Organic Stoneground Flakes Cocoa Clusters Cereal,121,14,14.9
5063,5063,Maple & Pecan Granola Gluten Free,57,14,7.3
5214,5214,Organic Corn Flakes Fruit Juice Sweetened Cereal,121,14,13.6
5223,5223,Fruit & Cream Variety Pack,130,14,4.0
5354,5354,Honey Bunches of Oats with Almonds Cereal,121,14,14.4
5543,5543,Toasted Rice And Wheat Flakes Cereal,121,14,9.0
5572,5572,Kellogg's Frosted Mini Wheats Maple Brown Sugar Cereal,121,14,12.2
5692,5692,Cinnamon & Spice Instant Oatmeal,130,14,2.8
5752,5752,"Organic Qi'a Superfood Oatmeal, Cinnamon Pumpkin Seed",130,14,14.1
5753,5753,Homestyle Fruit & Nut Granola,57,14,3.6
5766,5766,Honey & Oat Blenders,121,14,2.9
5907,5907,Apple Cinnamon Fig Bar,48,14,4.0
5925,5925,Fruit & Nut Granola Cereal,121,14,5.5
6001,6001,Morning Vanilla Almond Oat Crunch,121,14,11.7
6043,6043,Blueberry Vanilla Polar Puffs Cereal,121,14,14.4
6057,6057,Certified Gluten-Free Oats Natural Oatmeal Packets - 8 CT,121,14,10.7
6080,6080,Organic High Protein Blueberry Harvest Granola,57,14,12.6
6091,6091,Oatmeal Squares Hint Of Brown Sugar Cereal,130,14,5.1
6108,6108,Honey Nut Os,121,14,6.8
6179,6179,Berries & Cherries Paleo Granola,57,14,14.5
6187,6187,Raisin Bran Cereal,121,14,5.5
6213,6213,Kellogg's Corn Flakes Cereal,121,14,8.3
6227,6227,Farmer's Market Berry Crumble Protein & Fiber Hot Oatmeal,130,14,13.8
6255,6255,Multi-Grain Cheerios Dark Chocolate Crunch Cereal,121,14,14.0
6258,6258,Fit Triple Berry Crunch Whole Grain Granola,57,14,2.5
6275,6275,Simply Maize Cereal,121,14,8.3
6290,6290,Cranberry Almond Breakfast Bars,48,14,3.2
6291,6291,Ezekiel 4:9 Flax Sprouted Grain Bread,121,14,4.1
6303,6303,Raspberry Ginger Clusters & FLakes,121,14,8.6
6340,6340,Frosted Flakes Cereal,121,14,8.9
6384,6384,Almond Chia Granola Clusters,57,14,3.3
