,product_id,product_name,aisle_id,department_id,prices
0,1,Chocolate Sandwich Cookies,61,19,5.8
15,16,Mint Chocolate Flavored Syrup,103,19,5.2
24,25,Salted Caramel Lean Protein & Fiber Bar,3,19,1.9
31,32,Nacho Cheese White Bean Chips,107,19,4.9
40,41,Organic Sourdough Einkorn Crackers Rosemary,78,19,6.5
55,56,Healthy Pop Butter Popcorn,23,19,4.4
58,59,Medium Taqueria Style Chipotle Salsa,50,19,6.8
76,77,Coconut Chocolate Chip Energy Bar,3,19,6.4
77,78,Nutter Butter Cookie Bites Go-Pak,61,19,3.0
92,93,Uncured Cracked Pepper Beef,23,19,2.4
101,102,Danish Butter Cookies,61,19,5.5
102,103,Sprouted Kale Cracker,78,19,6.4
114,115,Scooby-Doo! Fruit Flavored Snacks,50,19,2.7
123,124,Sun Cups Dark Chocolate,45,19,3.0
134,135,Dark Chocolate Ice Cream Topping,103,19,2.4
135,136,Simple,45,19,5.0
139,140,Chips Onion Chipotle Garlic,107,19,6.9
140,141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19,2.9
144,145,Traditional Water Crackers,78,19,1.9
155,156,Extra Spearmint Sugar-Free Gum,46,19,3.5
163,164,Peanut Butter Cacao Quinoa Clusters,3,19,5.2
165,166,Garlic Parmesan Pita Bread Chips,107,19,5.2
171,172,Gluten Free All Natural Chocolate Chip Cookies,61,19,4.8
179,180,Simply Beyond Black Bean Tortilla Chips,107,19,3.0
182,183,Cookie Dough Performance Energy,3,19,4.1
183,184,Kisses Milk Chocolate Candy,45,19,3.2
204,205,Chocolate Mint Cookie Crunch Nutrition Bar,3,19,4.5
206,207,Minis Candy Bars,45,19,2.5
211,212,Organic Blue Corn Sea Salt Tortilla Chips,107,19,4.4
212,213,Tapatio Salsa Picante Hot Sauce Tortilla Chips,107,19,2.6
224,225,3 Seed Blue Corn Dipping Chips,107,19,4.0
226,227,Triple Chocolate Snack Size,45,19,6.3
238,239,Chicharrones Picante Flavor Pork Rinds,107,19,2.1
241,242,Original Red Twists,45,19,3.7
246,247,Perfectly Thymed Pita Crisps Baked,107,19,2.3
247,248,Dried Sweetened Cranberries,117,19,2.5
255,256,Island Fruits Fruit Snacks,50,19,2.7
272,273,Thin Stackers Brown Rice  Salt Free,107,19,6.3
274,275,Caramel Sauce,103,19,3.0
284,285,Mini Nilla Wafers Munch Pack,61,19,5.9
